100,16,16,0.3,64,389,91
200,16,16,0.3,64,835,546
300,16,16,0.3,64,1361,1057
400,16,16,0.3,64,1815,1506
500,16,16,0.3,64,2293,2000
600,16,16,0.3,64,2755,2455
700,16,16,0.3,64,3199,2902
800,16,16,0.3,64,3748,3432
900,16,16,0.3,64,4187,3877
1000,16,16,0.3,64,4708,4375
